date,google_trends_bitcoin
2015-03-08,62.0
2015-03-09,64.0
2015-03-10,69.0
2015-03-11,61.0
2015-03-12,63.0
2015-03-13,62.0
2015-03-14,57.0
2015-03-15,59.0
2015-03-16,62.0
2015-03-17,59.0
2015-03-18,62.0
2015-03-19,65.0
2015-03-20,55.0
2015-03-21,52.0
2015-03-22,54.0
2015-03-23,55.0
2015-03-24,58.0
2015-03-25,61.0
2015-03-26,55.0
2015-03-27,51.0
2015-03-28,48.0
2015-03-29,51.0
2015-03-30,60.0
2015-03-31,57.0
2015-04-01,58.0
2015-04-02,54.0
2015-04-03,52.0
2015-04-04,51.0
2015-04-05,53.0
2015-04-06,53.0
2015-04-07,54.0
2015-04-08,55.0
2015-04-09,55.0
2015-04-10,53.0
2015-04-11,48.0
2015-04-12,50.0
2015-04-13,52.0
2015-04-14,57.0
2015-04-15,52.0
2015-04-16,50.0
2015-04-17,50.0
2015-04-18,47.0
2015-04-19,52.0
2015-04-20,51.0
2015-04-21,55.0
2015-04-22,56.0
2015-04-23,52.0
2015-04-24,51.0
2015-04-25,46.0
2015-04-26,50.0
2015-04-27,49.0
2015-04-28,48.0
2015-04-29,48.0
2015-04-30,55.0
2015-05-01,49.0
2015-05-02,46.0
2015-05-03,44.0
2015-05-04,48.0
2015-05-05,48.0
2015-05-06,48.0
2015-05-07,49.0
2015-05-08,48.0
2015-05-09,43.0
2015-05-10,43.0
2015-05-11,50.0
2015-05-12,51.0
2015-05-13,52.0
2015-05-14,62.0
2015-05-15,50.0
2015-05-16,50.0
2015-05-17,51.0
2015-05-18,52.0
2015-05-19,56.0
2015-05-20,56.0
2015-05-21,54.0
2015-05-22,48.0
2015-05-23,49.0
2015-05-24,51.0
2015-05-25,52.0
2015-05-26,52.0
2015-05-27,51.0
2015-05-28,45.0
2015-05-29,56.0
2015-05-30,64.0
2015-05-31,56.0
2015-06-01,53.0
2015-06-02,50.0
2015-06-03,50.0
2015-06-04,52.0
2015-06-05,49.0
2015-06-06,48.0
2015-06-07,47.0
2015-06-08,47.0
2015-06-09,48.0
2015-06-10,50.0
2015-06-11,45.0
2015-06-12,47.0
2015-06-13,42.0
2015-06-14,47.0
2015-06-15,46.0
2015-06-16,53.0
2015-06-17,55.0
2015-06-18,97.0
2015-06-19,60.0
2015-06-20,59.0
2015-06-21,50.0
2015-06-22,51.0
2015-06-23,50.0
2015-06-24,49.0
2015-06-25,55.0
2015-06-26,46.0
2015-06-27,51.0
2015-06-28,52.0
2015-06-29,63.0
2015-06-30,72.0
2015-07-01,65.0
2015-07-02,60.0
2015-07-03,60.0
2015-07-04,63.0
2015-07-05,66.0
2015-07-06,73.0
2015-07-07,62.0
2015-07-08,68.0
2015-07-09,62.0
2015-07-10,67.0
2015-07-11,64.0
2015-07-12,71.0
2015-07-13,64.0
2015-07-14,61.0
2015-07-15,61.0
2015-07-16,58.0
2015-07-17,56.0
2015-07-18,57.0
2015-07-19,56.0
2015-07-20,57.0
2015-07-21,58.67019230769231
2015-07-22,56.892307692307696
2015-07-23,53.33653846153847
2015-07-24,56.892307692307696
2015-07-25,53.33653846153847
2015-07-26,58.67019230769231
2015-07-27,56.892307692307696
2015-07-28,60.448076923076925
2015-07-29,53.33653846153847
2015-07-30,51.55865384615385
2015-07-31,51.55865384615385
2015-08-01,85.33846153846154
2015-08-02,69.3375
2015-08-03,64.00384615384615
2015-08-04,62.22596153846154
2015-08-05,58.67019230769231
2015-08-06,53.33653846153847
2015-08-07,51.55865384615385
2015-08-08,51.55865384615385
2015-08-09,53.33653846153847
2015-08-10,51.55865384615385
2015-08-11,51.55865384615385
2015-08-12,56.892307692307696
2015-08-13,55.11442307692308
2015-08-14,49.78076923076924
2015-08-15,48.002884615384616
2015-08-16,53.33653846153847
2015-08-17,55.11442307692308
2015-08-18,64.00384615384615
2015-08-19,72.89326923076923
2015-08-20,64.00384615384615
2015-08-21,65.78173076923078
2015-08-22,58.67019230769231
2015-08-23,62.22596153846154
2015-08-24,65.78173076923078
2015-08-25,67.55961538461538
2015-08-26,64.00384615384615
2015-08-27,55.11442307692308
2015-08-28,55.11442307692308
2015-08-29,53.33653846153847
2015-08-30,55.11442307692308
2015-08-31,53.33653846153847
2015-09-01,53.33653846153847
2015-09-02,53.33653846153847
2015-09-03,51.55865384615385
2015-09-04,51.55865384615385
2015-09-05,49.78076923076924
2015-09-06,49.78076923076924
2015-09-07,48.002884615384616
2015-09-08,51.55865384615385
2015-09-09,51.55865384615385
2015-09-10,48.002884615384616
2015-09-11,49.78076923076924
2015-09-12,49.78076923076924
2015-09-13,51.55865384615385
2015-09-14,53.33653846153847
2015-09-15,53.33653846153847
2015-09-16,55.11442307692308
2015-09-17,53.33653846153847
