,m2_money_supply
2015-01-01,11806.2
2015-01-02,11806.2
2015-01-03,11806.2
2015-01-04,11806.2
2015-01-05,11806.2
2015-01-06,11806.2
2015-01-07,11806.2
2015-01-08,11806.2
2015-01-09,11806.2
2015-01-10,11806.2
2015-01-11,11806.2
2015-01-12,11806.2
2015-01-13,11806.2
2015-01-14,11806.2
2015-01-15,11806.2
2015-01-16,11806.2
2015-01-17,11806.2
2015-01-18,11806.2
2015-01-19,11806.2
2015-01-20,11806.2
2015-01-21,11806.2
2015-01-22,11806.2
2015-01-23,11806.2
2015-01-24,11806.2
2015-01-25,11806.2
2015-01-26,11806.2
2015-01-27,11806.2
2015-01-28,11806.2
2015-01-29,11806.2
2015-01-30,11806.2
2015-01-31,11806.2
2015-02-01,11920.7
2015-02-02,11920.7
2015-02-03,11920.7
2015-02-04,11920.7
2015-02-05,11920.7
2015-02-06,11920.7
2015-02-07,11920.7
2015-02-08,11920.7
2015-02-09,11920.7
2015-02-10,11920.7
2015-02-11,11920.7
2015-02-12,11920.7
2015-02-13,11920.7
2015-02-14,11920.7
2015-02-15,11920.7
2015-02-16,11920.7
2015-02-17,11920.7
2015-02-18,11920.7
2015-02-19,11920.7
2015-02-20,11920.7
2015-02-21,11920.7
2015-02-22,11920.7
2015-02-23,11920.7
2015-02-24,11920.7
2015-02-25,11920.7
2015-02-26,11920.7
2015-02-27,11920.7
2015-02-28,11920.7
2015-03-01,11919.1
2015-03-02,11919.1
2015-03-03,11919.1
2015-03-04,11919.1
2015-03-05,11919.1
2015-03-06,11919.1
2015-03-07,11919.1
2015-03-08,11919.1
2015-03-09,11919.1
2015-03-10,11919.1
2015-03-11,11919.1
2015-03-12,11919.1
2015-03-13,11919.1
2015-03-14,11919.1
2015-03-15,11919.1
2015-03-16,11919.1
2015-03-17,11919.1
2015-03-18,11919.1
2015-03-19,11919.1
2015-03-20,11919.1
2015-03-21,11919.1
2015-03-22,11919.1
2015-03-23,11919.1
2015-03-24,11919.1
2015-03-25,11919.1
2015-03-26,11919.1
2015-03-27,11919.1
2015-03-28,11919.1
2015-03-29,11919.1
2015-03-30,11919.1
2015-03-31,11919.1
2015-04-01,11953.4
2015-04-02,11953.4
2015-04-03,11953.4
2015-04-04,11953.4
2015-04-05,11953.4
2015-04-06,11953.4
2015-04-07,11953.4
2015-04-08,11953.4
2015-04-09,11953.4
2015-04-10,11953.4
2015-04-11,11953.4
2015-04-12,11953.4
2015-04-13,11953.4
2015-04-14,11953.4
2015-04-15,11953.4
2015-04-16,11953.4
2015-04-17,11953.4
2015-04-18,11953.4
2015-04-19,11953.4
2015-04-20,11953.4
2015-04-21,11953.4
2015-04-22,11953.4
2015-04-23,11953.4
2015-04-24,11953.4
2015-04-25,11953.4
2015-04-26,11953.4
2015-04-27,11953.4
2015-04-28,11953.4
2015-04-29,11953.4
2015-04-30,11953.4
2015-05-01,11981.9
2015-05-02,11981.9
2015-05-03,11981.9
2015-05-04,11981.9
2015-05-05,11981.9
2015-05-06,11981.9
2015-05-07,11981.9
2015-05-08,11981.9
2015-05-09,11981.9
2015-05-10,11981.9
2015-05-11,11981.9
2015-05-12,11981.9
2015-05-13,11981.9
2015-05-14,11981.9
2015-05-15,11981.9
2015-05-16,11981.9
2015-05-17,11981.9
2015-05-18,11981.9
2015-05-19,11981.9
2015-05-20,11981.9
2015-05-21,11981.9
2015-05-22,11981.9
2015-05-23,11981.9
2015-05-24,11981.9
2015-05-25,11981.9
2015-05-26,11981.9
2015-05-27,11981.9
2015-05-28,11981.9
2015-05-29,11981.9
2015-05-30,11981.9
2015-05-31,11981.9
2015-06-01,12020.9
2015-06-02,12020.9
2015-06-03,12020.9
2015-06-04,12020.9
2015-06-05,12020.9
2015-06-06,12020.9
2015-06-07,12020.9
2015-06-08,12020.9
2015-06-09,12020.9
2015-06-10,12020.9
2015-06-11,12020.9
2015-06-12,12020.9
2015-06-13,12020.9
2015-06-14,12020.9
2015-06-15,12020.9
2015-06-16,12020.9
2015-06-17,12020.9
2015-06-18,12020.9
2015-06-19,12020.9
2015-06-20,12020.9
2015-06-21,12020.9
2015-06-22,12020.9
2015-06-23,12020.9
2015-06-24,12020.9
2015-06-25,12020.9
2015-06-26,12020.9
2015-06-27,12020.9
2015-06-28,12020.9
2015-06-29,12020.9
2015-06-30,12020.9
2015-07-01,12063.5
2015-07-02,12063.5
2015-07-03,12063.5
2015-07-04,12063.5
2015-07-05,12063.5
2015-07-06,12063.5
2015-07-07,12063.5
2015-07-08,12063.5
2015-07-09,12063.5
2015-07-10,12063.5
2015-07-11,12063.5
2015-07-12,12063.5
2015-07-13,12063.5
2015-07-14,12063.5
2015-07-15,12063.5
2015-07-16,12063.5
2015-07-17,12063.5
2015-07-18,12063.5
2015-07-19,12063.5
2015-07-20,12063.5
2015-07-21,12063.5
2015-07-22,12063.5
2015-07-23,12063.5
2015-07-24,12063.5
2015-07-25,12063.5
2015-07-26,12063.5
2015-07-27,12063.5
2015-07-28,12063.5
2015-07-29,12063.5
2015-07-30,12063.5
2015-07-31,12063.5
2015-08-01,12110.1
2015-08-02,12110.1
2015-08-03,12110.1
2015-08-04,12110.1
2015-08-05,12110.1
2015-08-06,12110.1
2015-08-07,12110.1
2015-08-08,12110.1
2015-08-09,12110.1
2015-08-10,12110.1
2015-08-11,12110.1
2015-08-12,12110.1
2015-08-13,12110.1
2015-08-14,12110.1
2015-08-15,12110.1
2015-08-16,12110.1
2015-08-17,12110.1
2015-08-18,12110.1
2015-08-19,12110.1
2015-08-20,12110.1
2015-08-21,12110.1
2015-08-22,12110.1
2015-08-23,12110.1
2015-08-24,12110.1
2015-08-25,12110.1
2015-08-26,12110.1
2015-08-27,12110.1
2015-08-28,12110.1
2015-08-29,12110.1
2015-08-30,12110.1
2015-08-31,12110.1
2015-09-01,12172.7
2015-09-02,12172.7
2015-09-03,12172.7
2015-09-04,12172.7
2015-09-05,12172.7
2015-09-06,12172.7
2015-09-07,12172.7
2015-09-08,12172.7
2015-09-09,12172.7
2015-09-10,12172.7
2015-09-11,12172.7
2015-09-12,12172.7
2015-09-13,12172.7
2015-09-14,12172.7
2015-09-15,12172.7
2015-09-16,12172.7
2015-09-17,12172.7
2015-09-18,12172.7
2015-09-19,12172.7
2015-09-20,12172.7
2015-09-21,12172.7
2015-09-22,12172.7
2015-09-23,12172.7
2015-09-24,12172.7
2015-09-25,12172.7
2015-09-26,12172.7
2015-09-27,12172.7
2015-09-28,12172.7
2015-09-29,12172.7
2015-09-30,12172.7
2015-10-01,12228.4
2015-10-02,12228.4
2015-10-03,12228.4
2015-10-04,12228.4
2015-10-05,12228.4
2015-10-06,12228.4
2015-10-07,12228.4
2015-10-08,12228.4
2015-10-09,12228.4
2015-10-10,12228.4
2015-10-11,12228.4
2015-10-12,12228.4
2015-10-13,12228.4
2015-10-14,12228.4
2015-10-15,12228.4
2015-10-16,12228.4
2015-10-17,12228.4
2015-10-18,12228.4
2015-10-19,12228.4
2015-10-20,12228.4
2015-10-21,12228.4
2015-10-22,12228.4
2015-10-23,12228.4
2015-10-24,12228.4
2015-10-25,12228.4
2015-10-26,12228.4
2015-10-27,12228.4
2015-10-28,12228.4
2015-10-29,12228.4
2015-10-30,12228.4
2015-10-31,12228.4
2015-11-01,12322.7
2015-11-02,12322.7
2015-11-03,12322.7
2015-11-04,12322.7
2015-11-05,12322.7
2015-11-06,12322.7
2015-11-07,12322.7
2015-11-08,12322.7
2015-11-09,12322.7
2015-11-10,12322.7
2015-11-11,12322.7
2015-11-12,12322.7
2015-11-13,12322.7
2015-11-14,12322.7
2015-11-15,12322.7
2015-11-16,12322.7
2015-11-17,12322.7
2015-11-18,12322.7
2015-11-19,12322.7
2015-11-20,12322.7
2015-11-21,12322.7
2015-11-22,12322.7
2015-11-23,12322.7
2015-11-24,12322.7
2015-11-25,12322.7
2015-11-26,12322.7
2015-11-27,12322.7
2015-11-28,12322.7
2015-11-29,12322.7
2015-11-30,12322.7
2015-12-01,12393.6
2015-12-02,12393.6
2015-12-03,12393.6
2015-12-04,12393.6
2015-12-05,12393.6
2015-12-06,12393.6
2015-12-07,12393.6
2015-12-08,12393.6
2015-12-09,12393.6
2015-12-10,12393.6
2015-12-11,12393.6
2015-12-12,12393.6
2015-12-13,12393.6
2015-12-14,12393.6
2015-12-15,12393.6
2015-12-16,12393.6
2015-12-17,12393.6
2015-12-18,12393.6
2015-12-19,12393.6
2015-12-20,12393.6
2015-12-21,12393.6
2015-12-22,12393.6
2015-12-23,12393.6
2015-12-24,12393.6
2015-12-25,12393.6
2015-12-26,12393.6
2015-12-27,12393.6
2015-12-28,12393.6
2015-12-29,12393.6
2015-12-30,12393.6
2015-12-31,12393.6
2016-01-01,12522.2
2016-01-02,12522.2
2016-01-03,12522.2
2016-01-04,12522.2
2016-01-05,12522.2
2016-01-06,12522.2
2016-01-07,12522.2
2016-01-08,12522.2
2016-01-09,12522.2
2016-01-10,12522.2
