date,btc_close,btc_high,btc_low,btc_open,btc_volume,ema_5,ema_8,ema_13,ema_21,rsi_14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,atr_14,log_return,realized_vol_14,days_since_last_halving,days_until_next_halving,halving_cycle_phase,halving_phase_sin,halving_phase_cos,next_halving_is_projected,dxy,gold_price,m2_money_supply,usdt_dominance,google_trends_bitcoin,n_transactions,avg_block_size_mb,avg_tx_per_block,avg_confirmation_time_min,median_confirmation_time_min,avg_mining_difficulty,avg_hashrate,miners_revenue_usd,avg_transaction_fees_btc,avg_transaction_fees_usd,cost_per_transaction_usd,sent_coins_usd,output_volume_btc,active_addresses,coins_in_circulation,market_price_usd,avg_transaction_value_btc,avg_fee_to_reward_ratio,sopr,mvrv,cpi_headline,core_pce,ppi,nonfarm_payrolls,unemployment_rate,avg_hourly_earnings,retail_sales,gdp_nominal,fomc_rate_upper,fomc_rate_lower,fomc_rate_changed,sp500_close,sp500_volume,dowjones_close,dowjones_volume,oil_close,oil_volume,eth_close,eth_volume_usd,eth_price_is_backfilled,fear_greed_value,value_classification,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_volume_total,pct_positive,pct_negative,sentiment_balance_normalized
2025-08-21,112419.03125,114802.6484375,111986.234375,114275.6875,57817883700.0,114387.99075073191,115287.91962213688,115999.92889918076,116313.79070878348,40.29561227283234,-357.29456157832465,388.8313633488232,-746.1259249271479,116485.333984375,122034.37184526504,110936.29612348496,0.0952744465090237,2824.28569209566,-0.0163723278465066,0.3562866134974679,488.0,970.0,0.3347050754458162,0.8616838357835789,-0.507445531214236,True,121.0843,3336.89990234375,22092.5,4.43895690226407,763.1642223441348,447767.0,1.598563134228188,3005.1476510067114,9.16053294389799,5.283333333333333,129435235580344.48,958704808.5807632,55379284.1129266,3.0897044099999995,364752.8629266,119.0110311476968,14001832264.62955,604109.254676697,536698.0,19909256.25,114263.31,1.3491598413386805,2949.194771839455,1.0064483543869662,2.150092222239416,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6370.169921875,4013560000.0,44785.5,407540000.0,63.52000045776367,250166.0,4225.29,0.0,False,50.0,Neutral,625.631809592247,489.197961688042,136.433847904205,3283.0,0.5611904397509595,0.4388095602490404,0.0415576752678053
2025-08-22,116874.0859375,117377.3984375,111678.9453125,112433.734375,82528088240.0,115216.6891463213,115640.4010255509,116124.80847608352,116364.7266386668,51.318931026972535,-253.58572757399816,260.34794516425893,-513.9336727382571,116702.692578125,121930.11612082504,111475.26903542496,0.0895853116533813,3029.5833658745414,0.0388639264247782,0.4146315673987574,489.0,969.0,0.3353909465020576,0.8594890275733451,-0.5111541954058731,True,120.2774,3374.39990234375,22092.5,4.188879948825332,838.2295556894595,459717.0,1.6326628493150686,3148.746575342466,11.076473324633753,5.104166666666667,129460543109965.77,939585701.641628,53263914.816695295,3.47826203,401414.8166953,114.06062117717347,15328705213.824976,698681.1002906404,559414.0,19909690.625,112432.68,1.519806968832217,3464.582277171842,1.0189602051826108,2.2309603181709265,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6466.91015625,5046860000.0,45631.73828125,484720000.0,63.65999984741211,223169.0,4829.76,0.0,False,50.0,Neutral,803.767758488655,628.096385121346,175.67137336731,4172.0,0.5613435898060859,0.438656410193914,0.0421072323507454
2025-08-23,115374.328125,116996.25,114536.109375,116866.3671875,55377142586.0,115269.23547254756,115581.27371431736,116017.59699735732,116274.69041015164,48.09935874329173,-289.08130161536974,150.4620958083332,-439.5433974237029,116760.525390625,121896.9920605105,111624.0587207395,0.0879829317776934,2988.9088843835025,-0.012915297318543,0.4199348656314224,490.0,968.0,0.336076817558299,0.8572782574716484,-0.5148533667622016,True,120.2774,3374.39990234375,22092.5,4.235801293159545,713.120666780585,467080.0,1.585786625,3072.894736842105,9.342434413293738,3.625,129699156960680.48,980001769.6141684,55282142.914973006,2.73088837,316111.6649729999,118.35690441674448,8101157832.036867,523652.2546548707,487009.0,19910146.875,116866.95,1.121118983161066,2670.8341733908865,1.0066289715578325,2.201272176719621,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6466.91015625,5046860000.0,45631.73828125,484720000.0,63.65999984741211,223169.0,4776.65,0.0,False,60.0,Greed,580.151334643364,547.510287106037,32.641047537327,3204.0,0.5144728910285556,0.4855271089714442,0.0101875928643342
2025-08-24,113458.4296875,115615.0859375,111060.546875,115387.390625,73961489632.0,114665.63354419835,115109.53059724683,115652.00166737771,116018.66670809238,44.277782934472576,-466.4320534812141,27.083265950423737,-493.51531943163786,116679.852734375,121976.18289418476,111383.52257456526,0.0907839705945977,3100.739611391824,-0.0167453578315027,0.4042677416029033,491.0,967.0,0.3367626886145404,0.855051566535525,-0.5185429765845302,True,120.2774,3374.39990234375,22092.5,4.286272387055115,700.6097778896975,525890.0,1.5772542865853665,3206.6463414634145,5.058595543094411,1.2583333333333333,129699156960680.44,1057370330.3731812,61885477.45943765,2.273317749999999,266039.9594377,111.9037825834641,11032407922.931696,583494.5676123779,443678.0,19910631.25,115372.47,1.1095372941344728,2260.752603232212,1.0030266533943608,2.167328504514984,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6466.91015625,5046860000.0,45631.73828125,484720000.0,63.65999984741211,223169.0,4778.21,0.0,False,53.0,Neutral,726.203283786774,730.07468432188,-3.871400535107,4068.0,0.4986707892930173,0.5013292107069827,-0.000951671714628
2025-08-25,110124.3515625,113637.84375,109324.28125,113456.8984375,85706860190.0,113151.87288363226,114001.71303396978,114862.3373666809,115482.81987667488,38.53932423593949,-866.0329539062368,-151.5399780209084,-714.4929758853284,116478.998046875,122443.22506756985,110514.77102618015,0.1024086250861228,3187.36981772098,-0.0298263155288318,0.4259844234686632,492.0,966.0,0.3374485596707819,0.852808996117683,-0.5222229563517383,True,120.4214,3373.800048828125,22092.5,4.482024901882574,800.6968890167972,482127.0,1.5999791347517731,3419.340425531915,7.622816439829237,3.883333333333333,129699156960680.52,909080588.918406,51120833.63289729,2.84742787,326427.3828973001,103.33077361974672,11581188386.265312,671005.1794498428,525919.0,19911140.625,113468.36,1.3917602197135668,3078.577629705353,1.0034140338296615,2.101608862718138,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6439.31982421875,4059070000.0,45282.46875,393960000.0,64.80000305175781,185270.0,4376.08,0.0,False,47.0,Neutral,900.522781789303,751.723132550716,148.799649238586,4679.0,0.5450295104218866,0.4549704895781133,0.0318015920578298
2025-08-26,111802.65625,112397.015625,108762.0390625,110124.1015625,69396320317.0,112702.13400575484,113513.03374864317,114425.24006429792,115148.25954697716,42.57390485824914,-1035.3594056192233,-328.3038635405714,-707.0555420786518,116317.730859375,122612.41790794337,110023.04381080664,0.1082326314666242,3219.3417280623385,0.015125123339528,0.4297690522348245,493.0,965.0,0.3381344307270233,0.8505505878657351,-0.5258932377215478,True,120.5274,3388.60009765625,22092.5,4.372364415195562,813.2077779076847,456605.0,1.6423185999999994,3044.0333333333333,7.562041243765512,3.725,129699156960680.48,967107009.4876657,56297907.75003928,3.186427219999998,367907.7500393,114.80933956692895,12519504863.175749,699871.7370252023,528702.0,19911600.0,110138.68,1.5327728277728063,2983.9211601354286,1.0042890513798657,2.1348985660008872,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6465.93994140625,4867680000.0,45418.0703125,490980000.0,63.25,199101.0,4601.18,0.0,False,48.0,Neutral,809.328724861145,684.023044288158,125.305680572987,4112.0,0.5419545090318433,0.4580454909681568,0.0304731713455707
2025-08-27,111222.0625,112619.4140625,110398.265625,111795.7109375,62137056409.0,112208.77683716988,113003.92902672246,113967.64326939824,114791.3325427065,41.5575685761362,-1202.5387833929854,-503.15084751105417,-699.3879358819312,116003.9890625,122666.00038336014,109341.97774163986,0.1148583143510835,3148.0422073078857,-0.0052065534692693,0.394215981786153,494.0,964.0,0.3388203017832647,0.848276383721423,-0.5295537525317945,True,120.7274,3404.60009765625,22092.5,4.3994014565683655,663.0771112170352,499276.0,1.587194126666667,3328.5066666666667,9.266404260183991,3.533333333333333,129699156960680.48,967107009.4876657,54198229.94353496,3.649184339999998,415229.94353500014,106.64303510389172,10326963402.219948,610384.5115604041,526965.0,19912043.75,111803.49,1.2225392599692435,3825.1128404814303,1.0069167493404378,2.1218251202374474,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6481.39990234375,4143680000.0,45565.23046875,430980000.0,64.1500015258789,193476.0,4507.29,0.0,False,51.0,Neutral,787.338503420353,521.052078127861,266.286425292492,3693.0,0.6017610601328987,0.3982389398671014,0.0721057203608156
2025-08-28,112544.8046875,113450.078125,110900.921875,111219.0546875,58860155962.0,112320.78612061328,112901.90139578414,113764.38061484136,114587.10273768772,44.79119484774044,-1214.297736396431,-645.3802252881295,-568.9175111083015,115796.79296875,122624.82901461975,108968.75692288025,0.117931349751844,3105.264638928751,0.0118226403333176,0.3576699466346429,495.0,963.0,0.3395061728395062,0.8459864259198412,-0.533204432801691,True,120.2595,3431.800048828125,22092.5,4.35018339026613,625.5444445443728,575612.0,1.5770443710691824,3620.201257861635,7.9482741623815185,3.433333333333333,129699156960680.44,1025133430.0569257,57745298.99455071,3.3040221899999995,378705.2445507,98.72645160138056,10466099084.99234,643223.426013164,547915.0,19912534.375,111252.32,1.117460070348019,3774.978864459399,1.0157422959002906,2.142789122023943,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6501.85986328125,4283760000.0,45636.8984375,540880000.0,64.5999984741211,208931.0,4511.97,0.0,False,48.0,Neutral,798.269004821777,565.508544206619,232.760460615158,3821.0,0.5853366668123349,0.414663333187665,0.0609161111267097
2025-08-29,108410.8359375,112619.0546875,107559.625,112550.5234375,77843379644.0,111017.46939290884,111903.88684949875,112999.58851807832,114025.62393767068,37.7594394572012,-1539.4477253718503,-824.1937253048739,-715.2540000669767,115392.316796875,122962.89973020788,107821.73386354212,0.131214679512144,3244.8478566838403,-0.037423359714663,0.3971784728340918,496.0,962.0,0.3401920438957476,0.84368075698865,-0.5368452107330927,True,120.2082,3473.699951171875,22092.5,4.507017587180872,700.6097778896975,596157.0,1.5111002727272735,3613.072727272727,7.770515123851158,3.05,129699156960680.44,1063817710.4364324,58475677.66527168,3.4954331800000005,389240.1652717001,96.43500160836658,23005469326.788795,830138.1786032679,597526.0,19913009.375,112572.88,1.392482481298161,3968.2866188602175,1.04962757981338,2.0585239707912053,322.169,126.121,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6460.259765625,4234840000.0,45544.87890625,494870000.0,64.01000213623047,0.0,4360.2,0.0,False,50.0,Neutral,791.84304523468,683.963184773922,107.879860460758,4188.0,0.5365494664093298,0.4634505335906702,0.0257592790020912
2025-08-30,108808.0703125,108929.3515625,107444.4453125,108409.40625,51486264208.0,110281.00303277255,111215.9276190546,112400.8002029957,113551.30088083696,38.754410054159166,-1744.9630916588794,-1008.3475985756752,-736.6154930832043,114867.382421875,122744.84567380024,106989.91916994976,0.1371575304640192,3119.137741920709,0.0036574608046354,0.3987576703284142,497.0,961.0,0.340877914951989,0.8413594197472877,-0.5404760187117532,True,120.2082,3473.699951171875,22092.5,4.496323717627195,650.5662223261477,628513.0,1.4566713734177217,3977.930379746836,6.048933043671518,0.0583333333333333,129699156960680.44,1018686049.9936746,54713066.34255501,3.2329491200000007,358535.09255500004,86.32735078173864,9170965525.438211,548501.2291975999,495905.0,19913543.75,108370.55,0.8726967130315522,4118.649925707994,1.0039842991325263,2.063022252855391,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6460.259765625,4234840000.0,45544.87890625,494870000.0,64.01000213623047,0.0,4374.16,0.0,False,39.0,Fear,625.216193556786,497.404597759247,127.811595797539,3119.0,0.5569255427951353,0.4430744572048646,0.0409783891624042
