time,asset,CapMVRVCur,SplyCur
2015-01-01,btc,0.98274685,13675714.78521033
2015-01-02,btc,0.98668726,13679839.78521033
2015-01-03,btc,0.89443575,13683889.78496462
2015-01-04,btc,0.826303,13688189.78496462
2015-01-05,btc,0.86470946,13692089.78496462
2015-01-06,btc,0.90423431,13696039.78496462
2015-01-07,btc,0.93577843,13699539.78496462
2015-01-08,btc,0.89651769,13703214.78496462
2015-01-09,btc,0.9241025,13706714.78496462
2015-01-10,btc,0.87375367,13710389.78496462
2015-01-11,btc,0.85069708,13714264.78496462
2015-01-12,btc,0.85146752,13717814.78496462
2015-01-13,btc,0.71350593,13720989.78496462
2015-01-14,btc,0.56357972,13724614.78496462
2015-01-15,btc,0.68179854,13728389.78463702
2015-01-16,btc,0.66753485,13731864.78463702
2015-01-17,btc,0.64325099,13735314.78463702
2015-01-18,btc,0.68000493,13739139.78463702
2015-01-19,btc,0.69895138,13742739.78463702
2015-01-20,btc,0.68366065,13745689.78463702
2015-01-21,btc,0.73912676,13749414.78463701
2015-01-22,btc,0.75789177,13752789.78463701
2015-01-23,btc,0.75661441,13755889.78463701
2015-01-24,btc,0.8081469,13759039.78463701
2015-01-25,btc,0.8258294,13762164.78463701
2015-01-26,btc,0.89147229,13765339.78463701
2015-01-27,btc,0.86202293,13769064.78463701
2015-01-28,btc,0.76846781,13773164.78463701
2015-01-29,btc,0.76357085,13777264.78463701
2015-01-30,btc,0.74804548,13780714.78463701
2015-01-31,btc,0.71163625,13784864.78463701
2015-02-01,btc,0.74387279,13788739.78463701
2015-02-02,btc,0.78676033,13792714.78463701
2015-02-03,btc,0.74694335,13795889.78463701
2015-02-04,btc,0.7443882,13799864.78463701
2015-02-05,btc,0.71333929,13803839.78463701
2015-02-06,btc,0.73237364,13808264.78463699
2015-02-07,btc,0.75214553,13812239.78463699
2015-02-08,btc,0.73731062,13815539.78463699
2015-02-09,btc,0.72729218,13819564.77463699
2015-02-10,btc,0.72810409,13823164.77463699
2015-02-11,btc,0.72439005,13827114.77463699
2015-02-12,btc,0.73482642,13830089.77463699
2015-02-13,btc,0.78098836,13833739.77463699
2015-02-14,btc,0.85038033,13837739.77463699
2015-02-15,btc,0.7743708,13841239.77463699
2015-02-16,btc,0.77684571,13845164.77463699
2015-02-17,btc,0.80607357,13848889.77463699
2015-02-18,btc,0.78023417,13853064.77463699
2015-02-19,btc,0.80139075,13857214.77430939
2015-02-20,btc,0.81236962,13861164.77414559
2015-02-21,btc,0.81269734,13864714.77365419
2015-02-22,btc,0.78366869,13868489.77349039
2015-02-23,btc,0.79211394,13872039.77349039
2015-02-24,btc,0.79522354,13875264.77349039
2015-02-25,btc,0.79086428,13879239.77349039
2015-02-26,btc,0.78721981,13882989.77349039
2015-02-27,btc,0.8470053,13886789.77349039
2015-02-28,btc,0.84675657,13890339.77349039
2015-03-01,btc,0.86514949,13893839.77168859
2015-03-02,btc,0.91679724,13897789.77168859
2015-03-03,btc,0.9391453,13901739.77168859
2015-03-04,btc,0.90841341,13905239.77168859
2015-03-05,btc,0.91835146,13908539.77168859
2015-03-06,btc,0.90850025,13912239.77168859
2015-03-07,btc,0.91980286,13915739.77168859
2015-03-08,btc,0.91749265,13919639.77168859
2015-03-09,btc,0.96777239,13923239.77152479
2015-03-10,btc,0.9731036,13927039.77152479
2015-03-11,btc,0.98702529,13930889.77152479
2015-03-12,btc,0.98143882,13934164.77152479
2015-03-13,btc,0.95005909,13937814.77152479
2015-03-14,btc,0.94250473,13941089.77152479
2015-03-15,btc,0.95476771,13944664.77136099
2015-03-16,btc,0.96883474,13948139.77136099
2015-03-17,btc,0.94842564,13951339.77136098
2015-03-18,btc,0.85686576,13955164.77136098
2015-03-19,btc,0.87346947,13958589.77136098
2015-03-20,btc,0.87674824,13961989.77136098
2015-03-21,btc,0.87101347,13965764.77136098
2015-03-22,btc,0.89689624,13969314.77136098
2015-03-23,btc,0.89015559,13972939.77136098
2015-03-24,btc,0.8245462,13977264.77136098
2015-03-25,btc,0.82488492,13981314.77136098
2015-03-26,btc,0.834809,13985014.77136098
2015-03-27,btc,0.82811622,13989289.77136098
2015-03-28,btc,0.84785463,13992989.77136098
2015-03-29,btc,0.81383575,13996814.77136098
2015-03-30,btc,0.83226724,14000364.77136098
2015-03-31,btc,0.82051756,14004114.77136098
2015-04-01,btc,0.83080879,14007414.77136098
2015-04-02,btc,0.85233643,14011564.77136098
2015-04-03,btc,0.85676268,14015214.77136098
2015-04-04,btc,0.85381712,14019039.77095148
2015-04-05,btc,0.87790912,14022739.77095148
2015-04-06,btc,0.86213123,14025889.77095148
2015-04-07,btc,0.85722526,14029689.77095148
2015-04-08,btc,0.82735719,14032814.77095148
2015-04-09,btc,0.82153081,14036139.77095148
2015-04-10,btc,0.7967323,14039939.77095148
2015-04-11,btc,0.80216867,14043439.77095148
2015-04-12,btc,0.80176151,14046639.77095148
2015-04-13,btc,0.76357046,14050539.77095148
2015-04-14,btc,0.74489185,14054264.77090148
2015-04-15,btc,0.75926768,14057314.77090148
2015-04-16,btc,0.77719921,14060764.77090148
2015-04-17,btc,0.75827898,14063914.77090148
2015-04-18,btc,0.76055574,14067564.77090148
2015-04-19,btc,0.76035314,14071189.77090148
2015-04-20,btc,0.76631946,14075039.77090148
2015-04-21,btc,0.80085177,14078864.77090148
2015-04-22,btc,0.79730639,14082664.77090148
2015-04-23,btc,0.80445024,14085914.77090148
2015-04-24,btc,0.78956794,14089014.77090148
2015-04-25,btc,0.77276772,14093089.77090148
2015-04-26,btc,0.75294572,14096689.77089602
2015-04-27,btc,0.77665961,14100114.77089602
2015-04-28,btc,0.77087913,14103939.77089602
2015-04-29,btc,0.77154151,14107114.77089602
2015-04-30,btc,0.80792304,14110464.77089602
2015-05-01,btc,0.7959527,14114164.77089602
2015-05-02,btc,0.80559481,14117839.77089602
2015-05-03,btc,0.8223728,14121364.77089602
