date,RSAFS
2015-01-01,428208.0
2015-02-01,427119.0
2015-03-01,433647.0
2015-04-01,434470.0
2015-05-01,437865.0
2015-06-01,437951.0
2015-07-01,441942.0
2015-08-01,441849.0
2015-09-01,439867.0
2015-10-01,438693.0
2015-11-01,440303.0
2015-12-01,442149.0
2016-01-01,439466.0
2016-02-01,443117.0
2016-03-01,441856.0
2016-04-01,444254.0
2016-05-01,445490.0
2016-06-01,450237.0
2016-07-01,449789.0
2016-08-01,449946.0
2016-09-01,453056.0
2016-10-01,453847.0
2016-11-01,453892.0
2016-12-01,459305.0
2017-01-01,464412.0
2017-02-01,464284.0
2017-03-01,463674.0
2017-04-01,465276.0
2017-05-01,462754.0
2017-06-01,465130.0
2017-07-01,465089.0
2017-08-01,466020.0
2017-09-01,475724.0
2017-10-01,476107.0
2017-11-01,480949.0
2017-12-01,483586.0
2018-01-01,481414.0
2018-02-01,484031.0
2018-03-01,484110.0
2018-04-01,484154.0
2018-05-01,491960.0
2018-06-01,490228.0
2018-07-01,493142.0
2018-08-01,493445.0
2018-09-01,491507.0
2018-10-01,496416.0
2018-11-01,498854.0
2018-12-01,489113.0
2019-01-01,490440.0
2019-02-01,491751.0
2019-03-01,499292.0
2019-04-01,499343.0
2019-05-01,504741.0
2019-06-01,505251.0
2019-07-01,509091.0
2019-08-01,512561.0
2019-09-01,509282.0
2019-10-01,510648.0
2019-11-01,514215.0
2019-12-01,515866.0
2020-01-01,515119.0
2020-02-01,515330.0
2020-03-01,468324.0
2020-04-01,401028.0
2020-05-01,478449.0
2020-06-01,518038.0
2020-07-01,526304.0
2020-08-01,530735.0
2020-09-01,541302.0
2020-10-01,539114.0
2020-11-01,533941.0
2020-12-01,538548.0
2021-01-01,559230.0
2021-02-01,544891.0
2021-03-01,603581.0
2021-04-01,608961.0
2021-05-01,605282.0
2021-06-01,611950.0
2021-07-01,601817.0
2021-08-01,605533.0
2021-09-01,609671.0
2021-10-01,618573.0
2021-11-01,624874.0
2021-12-01,619938.0
2022-01-01,631509.0
2022-02-01,638101.0
2022-03-01,651027.0
2022-04-01,660194.0
2022-05-01,659847.0
2022-06-01,666113.0
2022-07-01,659550.0
2022-08-01,663566.0
2022-09-01,661854.0
2022-10-01,668671.0
2022-11-01,659458.0
2022-12-01,651763.0
2023-01-01,680253.0
2023-02-01,672152.0
2023-03-01,665071.0
2023-04-01,670494.0
2023-05-01,673902.0
2023-06-01,677117.0
2023-07-01,678424.0
2023-08-01,684755.0
2023-09-01,689403.0
2023-10-01,686148.0
2023-11-01,685328.0
2023-12-01,686277.0
2024-01-01,680456.0
2024-02-01,685280.0
2024-03-01,687641.0
2024-04-01,687602.0
2024-05-01,692774.0
2024-06-01,692449.0
2024-07-01,698835.0
2024-08-01,697039.0
2024-09-01,703055.0
2024-10-01,708290.0
2024-11-01,711853.0
2024-12-01,717265.0
2025-01-01,711260.0
2025-02-01,711575.0
2025-03-01,723339.0
2025-04-01,722442.0
2025-05-01,714513.0
2025-06-01,719484.0
2025-07-01,727176.0
2025-08-01,731700.0
2025-09-01,732192.0
2025-10-01,731051.0
2025-11-01,734718.0
2025-12-01,734717.0
2026-01-01,734503.0
2026-02-01,741278.0
2026-03-01,754013.0
2026-04-01,759097.0
2026-05-01,766192.0
2026-06-01,768072.0
2026-07-01,763602.0
